title,description
,"  The shares of FAANG name Apple Inc (NASDAQ:AAPL) are inching higher today, last seen up 0.4% at $145.45. Boasting a 22% year-over-year lead, AAPL's Sept. 7 all-time of $157.26 so far marks the pinnacle of the stock's stellar year. However, in the month and a half following that peak, the equity has shed 7.5%, and now faces pressure from the previously supportive 80-day moving average. This pullback has done little to deter option bulls. In fact, the security landed in second place on Schaeffer's Senior Quantitative Analyst Rocky White's list of stocks that have attracted the highest weekly options volume within the last two weeks, with new names to the list highlighted in yellow. According to White, 1,635,513 calls and 837,776 puts were exchanged over this two week time period. The most popular position was the October 145 call, followed by the 144 call in the same series. This preference for bullish bets is being echoed in today's trading. So far, 376,000 calls have crossed the tape, compared to 174,000 puts. The weekly 10/22 145-, 146-, and 144-strike calls take up the top three spots for most popular contracts today, with new positions being bought to open at each. This suggests traders are expecting more upside for AAPL by the time these positions expire this Friday. Despite this preference for calls, puts have been unusually popular. At the International Securities Exchange (ISE), Cboe Options Exchange (CBOE), and NASDAQ OMX PHLX (PHLX), AAPL's 50-day put/call volume ratio stands higher than 84% of readings from the past year. This means long puts have been picked up a much quicker clip during the past two weeks. Now could be a good opportunity to take advantage of Apple stock's next move with options. The security's Schaeffer's Volatility Index (SVI) of 22% sits in the 14th percentile of its annual range, indicating that options traders are pricing in relatively low volatility expectations at the moment. Plus, the stock's Schaeffer's Volatility Scorecard (SVS) comes in at a relatively high 71 (out of 100). In other words, the security has exceeded options traders' volatility expectations in the last year."
Yahoo Finance,"  When close to half the companies in the United States have price-to-earnings ratios (or ""P/E's"") below 17x, you may consider Apple Inc. (NASDAQ:AAPL) as a stock to avoid entirely with its 29.7x P/E ratio. However, the P/E might be quite high for a reason, and it requires further investigation to determine if it's justified. Before we start, investors should know that Apple has an outstanding performance in multiple areas, such as cash flows, working capital management, earnings quality, and especially returns. You can view our detailed report on Apple in order to get a clear picture of the company's fundamentals. You can also read what qualitative factors are impacting Apple's growth here. Today, will go over the fundamentals of Apple, and see why some investors might like the stock even at a more expensive valuation. Of course, buying a stock at ""any"" price is slowly building a house of cards, and investors might want to be more patient with their stock picks. With earnings growth that's superior to most other companies of late, Apple has been doing relatively well. The P/E is probably high because investors think this strong earnings performance will continue. If not, then existing shareholders might be a little nervous about the viability of the share price.  See our latest analysis for Apple  The chart above shows us that the company is valued more expensively than both the market and sector. While the P/E is not preposterous, it might be worth thinking if investor's enthusiasm is justified. One thing that can help investors with having a clearer picture of a company's future, is to think of a few possible events that can boost and a few that can weaken the stock. For example, one great catalyst might be the global chip shortage, which will translate in stronger profits for Apple. A negative catalyst might be the recent settlement in the app store related court case. Investors may also be keen to find out how analysts think Apple's future stacks up against the industry, and can take a look at our free report. Apple's P/E ratio would be typical for a company that's expected to deliver very strong growth, and importantly, perform much better than the market. If we review the last year of earnings growth, the company posted a terrific increase of 55%. The latest three-year period has also seen an excellent 85% overall rise in EPS, aided by its short-term performance. Turning to the outlook, the next three years should generate growth of 6.0% each year, as estimated by the analysts watching the company. Meanwhile, the rest of the market is forecast to expand by 12% per year, which is noticeably more attractive. With this information, we find it concerning that Apple is trading at a P/E higher than the market. Investors sometimes conflate the love for the company with the future performance of the stock. If we want the best outcome on the market, we must know what is happening to the stock with the cash flows as a foundational basis for our analysis. In the chart below, there is an important point investors might consider. We compared the sales and three measures of profit to market valuations. In a healthy market environment, investors can expect that the market adjusts for growth appropriately, and a graph like this would yield relatively consistent horizontal lines. What we will notice, however, is that after 2018 the market has been less strict with Apple's profits. The pricing of revenue has also deviated, but one can argue that sales growth has been keeping up more with the stock, then earnings growth. We can also notice, that the market periodically corrects for this. And the more we veer into the future the more volatile the corrections become. Investors should keep this in mind, and consider that if interested in buying Apple stock, holding it for the long term, might be a better strategy to avoid some volatility. Apple stock is currently more expensive than the market and sector. Revenue growth seems to be keeping up with the stock price, however, the company cannot reach the necessary profit growth rates to keep up with the historical benchmark. To be clear, Apple's growth is still high, but the market seems to be less demanding for cash flows. Apple is still a solid company with impeccable performance, however the stock is starting to show signs of future short term volatility, and investors may consider longer strategies to offset this. Alternatively, one can try timing the stock, as it does seem to correct periodically. - This is a risky approach, and investors might not realize potential gains like if they have just entered a position sooner or have a consistent investing scheme. If you want to find some high quality companies like Apple, explore our interactive list of high quality stocks to get an idea of what else is out there. Simply Wall St analyst Goran Damchevski and Simply Wall St have no position in any of the companies mentioned. This article is general in nature. We provide commentary based on historical data and analyst forecasts only using an unbiased methodology and our articles are not intended to be financial advice. It does not constitute a recommendation to buy or sell any stock and does not take account of your objectives, or your financial situation. We aim to bring you long-term focused analysis driven by fundamental data. Note that our analysis may not factor in the latest price-sensitive company announcements or qualitative material. Have feedback on this article? Concerned about the content? Get in touch with us directly. Alternatively, email editorial-team@simplywallst.com"
Yahoo Finance,"  Investors who have owned stocks in the last year have generally experienced some big gains. In fact, the SPDR S&P 500 (NYSE: SPY) total return over the last 12 months is 61.9%. But there is no question some big-name stocks performed better than others along the way. Apple’s Big Run: One company that has been a good investment in the last year has been iPhone maker Apple Inc (NASDAQ: AAPL). Apple recently unveiled its family of iPhone 12 models, which are the first to be compatible with 5G mobile networks. Analysts are expecting 5G iPhones to trigger yet another massive global upgrade cycle among existing iPhone users. When iPhone sales growth began to slow in recent years, Apple made a massive pivot to a recurring services model, a transition that is ongoing to this day. As of the fiscal first quarter of 2021, Apple said it now has a massive installed user base of more than 1.65 billion active devices. Apple’s Services segment is all about further monetizing that user base, and services revenue generates an impressive gross profit margin of about 68%. See also: How To Buy Apple Stock Fortunately for Apple investors, the COVID-19 pandemic in 2020 didn’t negatively impact its business much at all. In fact, the iPhone 12 helped generate 5.5% revenue growth for Apple in fiscal 2020. Net profit was also up 3.9% to $57.4 billion on the year. At the beginning of 2020, Apple shares were trading at around $296. By the beginning of March, the stock was down to $282 after news of the coronavirus spreading in China prompting concerns about a U.S. pandemic. Apple ultimately bottomed at $212.61 during the pandemic-driven March sell-off. Fortunately for Apple investors, the dip did not last long. By June, Apple shares were back at new all-time highs above $330 and was as high as $514.14 in August prior to a four-to-one stock split. Related Link: If You Invested ,000 In Ford Stock One Year Ago, Here's How Much You'd Have Now  Apple In 2021, Beyond: The stock eventually made it back up to new split-adjusted highs of $145.09 in January 2021. In recent days, the stock has pulled back from its highs, settling back down to $120. Still, Apple investors who bought one year ago and held on have generated a big return on their investment. In fact, $1,000 in Apple stock bought on March 26, 2020, would be worth about $1,968 today, assuming reinvested dividends. Looking ahead, analysts are expecting even more upside for Apple in the next 12 months. The average price target among the 37 analysts covering the stock is $155, suggesting a 28.5% upside from current levels. (Photo by Vista Wei on Unsplash) See more from Benzinga Click here for options trades from Benzinga Could Long-Term Capital Gains Selling Be Weighing On The Market? © 2021 Benzinga.com. Benzinga does not provide investment advice. All rights reserved. Sign in to create a watchlist"
Yahoo Finance,"  Citigroup (NYSE:C) analyst Jim Suva predicts that Apple (NASDAQ:AAPL) could announce an $80 billion to $90 billion buyback and increase its dividend by 5% to 10%. In turn, AAPL stock opened at $168.02 after closing at $165.75 Monday evening, and now sits at a little more than $167 per share. However, the Apple dividend increase and buyback potential could have AAPL stock rising before and after its next earnings report — scheduled for April 28. Of course, Apple is not new to share repurchases. Apple spent $85.5 billion on buying stock and $14.5 billion on dividends in its most recent fiscal year, which ended in September of last year. However, this is just the first step in their plan to grow and evolve. Most tech giants, including Apple, are cash cows. Apple has a lot of cash sitting in its coffers right now. In fact, their total cash hoards are at $202.6 billion, and they’ve got investments piling up by the minute. InvestorPlace - Stock Market News, Stock Advice & Trading Tips Furthermore, Citibank analysts say that Apple’s stock is undervalued and not considering the company’s potential. Jim Suva said the company is releasing some really exciting gadgets in the future, particularly augmented-reality/virtual-reality headsets and a new Apple car. However, shares aren’t reflecting this right now. In addition, Apple stock and the other major indices were buoyant after a report indicated that core inflation increased less than expected in March. 7 Cloud Computing Stocks to Buy for April 2022 According to evidence from the U.S. Labor Department, prices for everyday items kept increasing in March to their highest levels since the late 1980s. However, inflation data showed that the month-to-month growth was less than expected. Overall, Apple is a great company that has been consistently innovating and improving its products. In turn, the share price of AAPL stock keeps going up and the shares are becoming more valuable every day. The firm innovates quickly and continues to grow with the times to stay competitive against other tech-based businesses. Moreover, despite the worldwide supply chain issues, Apple was able to power through. Despite parts shortages, Apple shattered its revenue record, sales upped 11% to $124 billion, and profit grew from $28.7 billion to $34.6 billion. With that in mind, Apple has made a habit of outshining analyst estimates. The company sets the pace for innovation and beats competitors in virtually every measure. Thus, based on the company’s current trends and future promises, AAPL stock could be worth a lot in the future. However, timing is everything when it comes to Apple. The next catalyst coming up for the tech giant is its second-quarter results, scheduled for after the closing bell on April 28.  Click to Enlarge Source: Chart courtesy of StockRover.com That said, according to one analysis, when Apple posts a better-than-expected earnings report, the stock usually drops by almost 1% the next day. When earnings are reported, a pop tends to happen. After that, however, there is a dip and then an eventual runup to the next earnings report. You can understand the trend by looking at the accompanying chart, which shows a similar performance pattern, with squares denoting earnings. So, collectively, AAPL stock has all the ingredients to provide another exceptional earnings report. Therefore, you should invest in AAPL now as it gears up for its upcoming earnings release. On the publication date, Faizan Farooque did not have (either directly or indirectly) any positions in the securities mentioned in this article. The opinions expressed in this article are those of the writer, subject to the InvestorPlace.com Publishing Guidelines. Faizan Farooque is a contributing author for InvestorPlace.com and numerous other financial sites. Faizan has several years of experience in analyzing the stock market and was a former data journalist at S&P Global Market Intelligence. His passion is to help the average investor make more informed decisions regarding their portfolio. Stock Prodigy Who Found NIO at $2… Says Buy THIS It doesn’t matter if you have $500 in savings or $5 million. Do this now.  10 Stocks Are Issuing Sell Signals Early Bitcoin Millionaire Reveals His Next Big Crypto Trade “On Air” The post Apple Dividend Increase 2022: What Could AAPL Stock Fans Expect on April 28? appeared first on InvestorPlace. Sign in to create a watchlist"
"Stocks making the biggest moves after hours: Las Vegas Sands, CSX, Texas Instruments & more","  In this article Check out the companies making headlines in after-hours trading. Las Vegas Sands — Shares of the casino giant slipped 2% in extended trading after the company missed analysts' expectations on the top and bottom line during the second quarter. Las Vegas Sands lost 26 cents per share excluding items, compared to the expected loss of 16 cents, according to Refinitiv. Revenue came in at $1.17 billion, short of the expected $1.41 billion. Kinder Morgan — Kinder Morgan shares dipped about 1% despite the company's second-quarter results beating expectations. The energy infrastructure company earned 23 cents per share excluding items on $3.15 billion in revenue. Wall Street analysts were expecting 19 cents per share and $2.91 billion in revenue, according to estimates from StreetAccount. CSX Corporation — The rail company's stock advanced more than 3% after the company beat revenue estimates during the second quarter. CSX's revenue came in at $2.99 billion, which was above the $2.93 billion analysts surveyed by Refinitiv were expecting. Texas Instruments — Shares dipped more than 3% despite the semiconductor company beating top- and bottom-line estimates during the second quarter. Texas Instruments earned $2.05 per share on $4.58 billion in revenue. Analysts polled by Refinitiv were expecting the company to earn $1.83 per share on $4.35 billion in revenue. Become a smarter investor with CNBC Pro. Get stock picks, analyst calls, exclusive interviews and access to CNBC TV. Sign up to start a free trial today In this article © 2024 CNBC LLC. All Rights Reserved. A Division of NBCUniversal Data is a real time snapshot *Data is delayed at least 15 minutes. Global Business and Financial News, Stocks, Quotes, and Market Data, and Analysis. Privacy Policy Do Not Sell My Personal Information CA Notice Terms of Service Data also provided by"
Yahoo Finance,"  By Sinéad Carew and Farah Master (Reuters) - Shares in U.S. casinos with operations in Macau fell on Tuesday, with Las Vegas Sands Corp down 12.3% and Wynn Resorts Ltd down 12.4% on concerns about stiffer regulations there and a COVID-19 outbreak. China's health authorities said new COVID-19 infections more than doubled in the southeastern Fujian province, prompting officials to roll out measures that include travel restrictions to halt the spread of the virus. Also, the Macau government said on Tuesday it was kicking off a 45-day public consultation https://www.gov.mo/zh-hans/news/556115 to review the gaming industry, including issues such as the number and duration of casino licenses as well as supervision requirements. Las Vegas Sands' shares dropped to $37.12, their lowest level since Aug. 20, while Wynn hit a low of $90.42, a level not touched since Aug. 23. MGM Resorts International shares were down 4.5% at $41.15. ""Fujian is hopefully transitory. The supervision continues ongoing efforts and shouldn’t be to surprising,"" said Morningstar analyst Dan Wasiolek. But he noted that ""in the current environment of China increasing oversight on technology companies, investors in Macau are a bit on edge today."" Beijing has been engaged in a broad regulatory crackdown that has ensnared sectors ranging from technology to education and property and wiped billions of dollars off the market value of some of the country's largest companies. U.S. shares of Melco Resorts and Entertainment Ltd were down 7.2% at $11.79. (Reporting by Farah Master in Hong Kong, Deborah Sophia in Bengaluru, Sinéad Carew and Lance Tupper in New York; Editing by Dan Grebler) Sign in to create a watchlist"
"Two stocks on the market’s ‘naughty list’ could be set for a 2022 comeback, traders say","  In this article The stock market is tracking for another year of double-digit percentage gains, but some players have not joined in on the fun. Peloton, Zoom Video, Penn National Gaming and Global Payments are among the stocks that have been relegated to Santa's 'naughty list,' not just sitting out the rally but also posting steep losses for the year. CNBC's ""Trading Nation"" asked two of its traders which of the most beaten-down stocks could be setting up to rebound in the new year. Nancy Tengler, CEO and chief investment officer at Laffer Tengler Investments, highlighted payments company Block, the company formerly known as Square. Shares have tumbled 23% this year. ""This is a company that is in the perfect space for disruption, but they seem to have faced a number of hurdles this year, not just recent regulatory concerns about 'Buy Now, Pay Later,' but there were worries about slowdowns in payments and as fiscal 'stimmy' checks began to fade,"" Tengler said on Thursday. The tailwinds for 2022 are now piling up, she says. An e-commerce partnership with TikTok and its acquisition of 'Buy Now, Pay Later' company Afterpay are two reasons to be bullish, according to Tengler. Joule Financial president Quint Tatro instead is focusing on casino stock Las Vegas Sands, which is down more than 35% this year. ""Las Vegas Sands has really experienced a double whammy this year. Obviously, it's an entertainment name that's going to be in trouble due to Covid, but it's also tied to China. So this stock has really been in the trash heap,"" Tatro said during the same interview. Chinese stocks and companies with exposure to the country have had a bumpy 2021 as Beijing cracked down on certain industries ranging from tech to private education amid the nation's uneven economic recovery. Las Vegas Sands generates nearly half of its revenue from Macao, a gambling destination off the coast of mainland China. ""I do think travel and gaming will come back,"" said Tatro. ""This is a stock that looks fairly cheap, has been beaten up, but I think will do well in the coming years."" Disclosure: Laffer Tengler Investments holds SQ. Joule Financial holds LVS. Disclaimer In this article © 2024 CNBC LLC. All Rights Reserved. A Division of NBCUniversal Data is a real time snapshot *Data is delayed at least 15 minutes. Global Business and Financial News, Stocks, Quotes, and Market Data, and Analysis. Privacy Policy Do Not Sell My Personal Information CA Notice Terms of Service Data also provided by"
Yahoo Finance,"  In this article, we will take a look at the 10 best Las Vegas stocks to buy now. You can skip our comprehensive analysis of these companies and go directly to the 5 Best Las Vegas Stocks to Buy Now. The casino and gambling industry had suffered under COVID-19 as social distancing, remote working, and the suspension of commercial activities forced luxury resorts and gaming establishments to close their doors for business in early 2020. However, at the turn of the year, the economy seemed to be reopening, and there was a flurry of activity as the vaccine rollout allowed Las Vegas to welcome back tourists in limited numbers once again. On April 29, the Mississippi government even removed mask requirements for people at casinos.  The industry, which stood at $470 billion in 2020, is expected to grow to $520 billion this year at a compound annual growth rate of close to 11%. Major players in the industry are expected to lead this growth. MGM Resorts International (NYSE: MGM), one of the largest gaming companies in Las Vegas, reported quarterly revenues of $1.65 billion earlier this month, beating market estimates by $80 million. MGM Resorts International (NYSE: MGM) also reported earnings per share of -$0.68, narrowing losses and beating analyst predictions by $0.19.  It is not only the casino and hotel industry that will benefit from the upward trend in the gambling world. The firms who supply casino owners with the equipment they need to run the establishments are also set to register gains. Scientific Games Corporation (NASDAQ: SGMS), a gaming equipment manufacturer, is looking to capitalize on the digital trends of the pandemic and recently signed a cross-licensing agreement with a rival for cashless slot machines. Scientific Games Corporation (NASDAQ: SGMS) aims to market these slots to several casinos. Established gaming firms like Las Vegas Sands Corp. (NYSE: LVS) have also been making steady gains as the government gradually allows 100% capacity at hotels and casinos. In Clark County, casinos will be able to operate at 80% starting next month and fully once the vaccination rate in their area reaches 60%. Las Vegas Sands Corp. (NYSE: LVS) has plans to expand in Texas as international revenue takes a hit due to the slow vaccine rollout in Asia. However, with China in the midst of mass vaccination drives, Macau is slowly recovering too. Another notable stock to benefit from the upcoming recovery in the gaming sector is Wynn Resorts, Limited (NASDAQ: WYNN). Recently, investment firm Argus upgraded the stock, citing a strong recovery in Las Vegas and the company’s upbeat operations in Boston. The firm also likes Wynn Resorts, Limited (NASDAQ: WYNN)'s prospects in Macau, where it is investing in premium mass and luxury markets. The firm also noted that this casino company has launched iGaming/sports betting platform in 10 states. Argus has a price target of $50 for Wynn Resorts, Limited (WYNN). Some emerging trends in the industry for the new year include the impact of cryptocurrencies on the gambling industry, changing consumer habits with the rise in use of mobile phones and digital applications to satisfy gambling needs, and the shift to virtual reality-based gaming products around the world. Casinos will have to navigate these challenges deftly in order to recover from pandemic-related losses while holding on to their market shares. Land-based casinos can learn several lessons about industry disruption by observing hedge funds. The entire hedge fund industry is feeling the reverberations of the changing financial landscape. Its reputation has been tarnished in the last decade, during which its hedged returns couldn’t keep up with the unhedged returns of the market indices. On the other hand, Insider Monkey’s research was able to identify in advance a select group of hedge fund holdings that outperformed the S&P 500 ETFs by more than 124 percentage points since March 2017. Between March 2017 and February 26th 2021 our monthly newsletter’s stock picks returned 197.2%, vs. 72.4% for the SPY. Our stock picks outperformed the market by more than 124 percentage points (see the details here). We were also able to identify in advance a select group of hedge fund holdings that significantly underperformed the market. We have been tracking and sharing the list of these stocks since February 2017 and they lost 13% through November 16th. That’s why we believe hedge fund sentiment is an extremely useful indicator that investors should pay attention to. You can subscribe to our free newsletter on our homepage to receive our stories in your inbox. With this context in mind, here is our list of 10 best Las Vegas stocks to buy now. Number of Hedge Fund Holders: 26  Red Rock Resorts, Inc. (NASDAQ: RRR) is a Las Vegas-based gaming, development and management firm. It also has stakes in the casino and entertainment businesses. The company runs more than 20 gaming and entertainment establishments in Vegas. The units it operates house more than 13,000 slot machines and more than 3,000 table games. Red Rock Resorts Inc. (NASDAQ:RRR) also operates a resort facility in California. The company was founded in 2015 and is placed tenth on our list of 10 best Las Vegas stocks to buy now. Red Rock Resorts, Inc. was called a top pick by investment advisory Union Gaming on February 10 after the Las Vegas firm posted encouraging quarterly results for the last three months of 2020. Union rated Red Rock stock a Buy with a price target of $39. Union termed Red Rock the cleanest fundamental of the gaming industry.  At the end of the fourth quarter of 2020, 26 hedge funds in the database of Insider Monkey held stakes worth $562 million in the firm, down from 29 the preceding quarter worth $361 million. In the Q4 2020 Investor Letter, Baron Discovery Fund highlighted a few stocks and Red Rock Resorts Inc. (NASDAQ:RRR) is one of them. Here is what Baron Discovery Fund said: ""During the quarter we repurchased shares of prior holding, Red Rock Resorts Inc. (NASDAQ:RRR). The company, an operator of casinos that cater to residents in the locals Las Vegas market, reported strong third quarter results. Gaming revenue was up year-over-year despite the fact the company had 4 of its 10 casinos closed during the quarter. Significant cost improvements post-COVID has also led to significant margin improvement. We believe that coming out of COVID, the company will benefit from pent-up demand for leisure and entertainment combined with a permanently lower cost structure. As a result, we think a stronger and leaner Red Rock will show significant profit and free cash flow growth over the next few years.” Number of Hedge Fund Holders: 14  Monarch Casino & Resort, Inc. (NASDAQ: MCRI) is a Nevada-based firm that runs the Atlantis Casino Resort Spa in Reno. The company owns and operates another resort in the Colorado area. The Monarch Casino is one of the biggest casinos of the area with more than 1,400 slot machines at the facility. The company was founded in 1972 and is ranked ninth on our list of 10 best Las Vegas stocks to buy now. The Monarch Casino also has more than 8 food outlets and close to 800 guest rooms for visitors and tourists.  Monarch Casino & Resort, Inc. (NASDAQ: MCRI) stock soared to new highs on April 29 after the firm posted record-breaking quarterly results for the first three months of 2021. The share price of the firm jumped more than 7% as it posted a quarterly revenue of more than $75 million. Investment advisory Union Gaming boosted price targets on Monarch from $77 to $80 the same day.  Out of the hedge funds being tracked by Insider Monkey, Texas-based investment firm Lafitte Capital Management is a leading shareholder in the firm with 655,257 shares worth more than $40 million.  Number of Hedge Fund Holders: 13  Golden Entertainment, Inc. (NASDAQ: GDEN) is a Las Vegas-based firm that owns and operates casinos, taverns and slot routes. The firm is the largest tavern and slot owner in the area. The firm also has casino properties in Maryland. In addition to the casino business, the firm provides installation and maintenance services for gaming devices at restaurants, bars, and other public spaces. The firm was founded in 1998 and is placed eighth on our list of 10 best Las Vegas stocks to buy now.  Golden Entertainment, Inc. (NASDAQ: GDEN) was one of the few gaming firms that did not need external capital to stay afloat during the COVID-19 crisis in 2020. The share price of the firm is also below many Vegas rivals, making it a value play in the industry. It has a low risk profile with a 12% free cash flow yield.  At the end of the fourth quarter of 2020, 13 hedge funds in the database of Insider Monkey held stakes worth $95 million in the firm, up from 12 in the preceding quarter worth $67 million. Number of Hedge Fund Holders: 29  Everi Holdings Inc. (NYSE: EVRI) is a Spring Fields-based firm that makes and sells slot machines to casinos. The company also offers financial equipment and services to the same establishments. It has extensive business relations outside the United States as well, and provides machines and financial service to clients in Europe, Central America, and Asia. The company came into being in 1998 and is placed seventh on our list of 10 best Las Vegas stocks to buy now. In September 2020, investment firm BTIG started coverage on Everi Holdings Inc. (NYSE: EVRI) stock with a Buy rating and a price target of $12. The investment firm said that there was significant upside potential for the holding company in 2021 as the demand for cashless solutions in the gaming industry was increasing rapidly.  Out of the hedge funds being tracked by Insider Monkey, New York-based investment firm Millennium Management is a leading shareholder in the firm with 2.3 million shares worth more than $32 million.  Number of Hedge Fund Holders: 28  Boyd Gaming Corporation (NYSE: BYD) is a Paradise-based gaming and hospitality firm. It has close to 30 gaming properties in Nevada and eight other US states. The firm also owns and operates a travel agency. Boyd is placed sixth on our list of 10 best Las Vegas stocks to buy now and was founded in 1975. The company owns more than 21,000 slot machines and more than 400 game tables at its casinos. The revenue from gaming at these places accounts for more than 75% of the total revenue for the firm.  Boyd Gaming Corporation (NYSE: BYD) posted quarterly results on April 27, beating market estimates for earnings per share by $0.47 and reporting higher revenue than expected. The share price of the firm has been on an upward trajectory since the US government announced 50% capacity rules back in March. At the end of the fourth quarter of 2020, 28 hedge funds in the database of Insider Monkey held stakes worth $275 million in the firm, the same as in the previous quarter worth $254 million. Click to continue reading and see 5 Best Las Vegas Stocks to Buy Now. Suggested articles: Top 10 High Growth Stocks To Buy in 2021 10 Best Rebound Stocks to Buy Now Top 10 Undervalued Tech Stocks Disclosure: None. 10 Best Las Vegas Stocks to Buy Now is originally published on Insider Monkey. Sign in to create a watchlist"
"Two beaten-down gambling stocks could be poised to rebound, traders say","  In this article Casino stocks are on a hot streak this week. Las Vegas Sands, Wynn, Caesars, Penn National Gaming and MGM Resorts have all surged in recent days, getting a big boost Tuesday after gambling destination Macao eased restrictions for visitors from mainland China. This group has been incredibly volatile over the past 18 months, hit hard by closures and then travel disruptions and uneven traffic during the coronavirus pandemic. So, is Lady Luck finally on the casinos' side? Quint Tatro, president of Joule Financial, says yes … for one stock. ""The easy play is Las Vegas Sands,"" Tatro told CNBC's ""Trading Nation"" on Tuesday. ""It was March of just this year we were on here speaking about their abrupt shift and their sale of all their Las Vegas properties to basically double down and focus on their Asia exposure. At the time, I think it was a big question mark."" The benefits of that strategy now make more sense to Tatro in light of China's reopening and Macao's rebound. Las Vegas Sands announced in the first quarter that it would sell its Vegas properties including its Venetian Resort for a total of $6.25 billion. ""It still has a difficult balance sheet, it's not the greatest balance sheet, but they do have $2 billion now in unrestricted cash that they can put where they see the best opportunity,"" said Tatro. ""If this [rebound] is legit and we start to see a resurgence in the casino space, I think Las Vegas Sands is the play here."" Las Vegas Sands has tumbled 36% from a March high. It is down 28% for the year. JC O'Hara, chief market technician at MKM Partners, said the downturn in the China-exposed casino names has him wary. Instead, he prefers DraftKings, a gambling stock that he says looks to have stabilized after its pullback. ""It is reestablishing itself in an uptrend, breaking back above the 150-day moving average. So rather than trying to bottom pick some of these names and make calls on economic data, let's look where the price action is positive and that's DraftKings,"" he said during the same interview. O'Hara targets the March highs above $74 as a promising target price and sees a band of support at $50. DraftKings closed Tuesday at $56.47. Disclaimer In this article © 2024 CNBC LLC. All Rights Reserved. A Division of NBCUniversal Data is a real time snapshot *Data is delayed at least 15 minutes. Global Business and Financial News, Stocks, Quotes, and Market Data, and Analysis. Privacy Policy Do Not Sell My Personal Information CA Notice Terms of Service Data also provided by"
"Las Vegas Sands Leaving The Strip With Sale of Venetian Hotel, Expo Center","  AaronP/Bauer-Griffin/GC Images  The Las Vegas Sands Corp. is selling its signature hotel, The Venetian Resort Las Vegas, and leaving the Strip. Las Vegas Sands Corp. is selling the hotel along with the Sands Expo and Convention Center for about $6.25 billion, the company announced this week. Robert Goldstein, the group's chairman and chief executive officer, said while the Venetian ""changed the face of future casino development,"" the company now plans to shift its focus to its properties in Asia, including the famed Marina Bay Sands in Singapore. ""This company is focused on growth, and we see meaningful opportunities on a variety of fronts,"" Goldstein said in a statement. ""Asia remains the backbone of this company and our developments in Macao and Singapore are the center of our attention. We will always look for ways to reinvest in our properties and those communities. There are also potential development opportunities domestically, where we believe significant capital investment will provide a substantial benefit to those jurisdictions while also producing very strong returns for the company."" The name of the Venetian, the expo center as well as the Palazzo, will remain, and the company's headquarters will stay in Las Vegas, according to The Associated Press. 6236475791001 The Venetian was first completed in 1999 by Sheldon Adelson — who died earlier this year — as a tribute to the city he visited on his honeymoon, according to the hotel, featuring baroque-­inspired murals and gondola rides on canals that snaked their way through the hotel. ""Sheldon Adelson changed the Las Vegas market with his emphasis on conventions. He put a premium on that,"" University of Nevada, Las Vegas history professor Michael Green told the wire service. The hotel will be purchased by VICI Properties while Apollo Global Management will earn the operations rights. ""As we announce the sale of The Venetian Resort, we pay tribute to Mr. Adelson's legacy while starting a new chapter in this company's history,"" Goldstein said. Las Vegas has struggled amid the coronavirus pandemic, with the Las Vegas Sands posting a quarterly loss of almost $300 million in January, The AP reported. But there's hope for Sin City: Last month, MGM Resorts in Las Vegas (including the Mandalay Bay, Park MGM, and The Mirage resorts) said it would resume 24/7 hotel operations after temporarily closing mid-week due to a decreased demand. Alison Fox is a contributing writer for Travel + Leisure. When she's not in New York City, she likes to spend her time at the beach or exploring new destinations and hopes to visit every country in the world. Follow her adventures on Instagram."
