,title,n_sentences,keywords
0,,"['Now could be a good opportunity to take advantage of Apple stocks next move with options', 'The securitys Schaeffers Volatility Index (SVI) of 22', 'sits in the 14th percentile of its annual range, indicating that options traders are pricing in relatively low volatility expectations at the moment']","['volatility', 'sits', 'moment', 'good', 'opportunity']"
1,Yahoo Finance,"['In a healthy market environment, investors can expect that the market adjusts for growth appropriately, and a graph like this would yield relatively consistent horizontal lines', 'What we will notice, however, is that after 2018 the market has been less strict with Apples profits', 'The pricing of revenue has also deviated, but one can argue that sales growth has been keeping up more with the stock, then earnings growth']","['market', 'growth', 'healthy', 'environment', 'investors']"
2,Yahoo Finance,"['In fact, $1,000 in Apple stock bought on March 26, 2020, would be worth about $1,968 today, assuming reinvested dividends', 'Looking ahead, analysts are expecting even more upside for Apple in the next 12 months', 'The average price target among the 37 analysts covering the stock is $155, suggesting a 28']","['apple', 'stock', 'analysts', 'fact', 'bought']"
3,Yahoo Finance,"['However, this is just the first step in their plan to grow and evolve', 'Most tech giants, including Apple, are cash cows', 'Apple has a lot of cash sitting in its coffers right now']","['cash', 'step', 'plan', 'grow', 'evolve.most']"
4,"Stocks making the biggest moves after hours: Las Vegas Sands, CSX, Texas Instruments & more","['despite the companys second-quarter results beating expectations', 'The energy infrastructure company earned 23 cents per share excluding items on $3', '15 billion in revenue']","['billion', 'revenue', 'quarter', 'results', 'beating']"
5,Yahoo Finance,"['42, a level not touched since Aug', 'MGM Resorts International shares were down 4', 'Fujian is hopefully transitory']","['fujian', 'transitory', 'level', 'touched', 'aug.mgm']"
6,"Two stocks on the market’s ‘naughty list’ could be set for a 2022 comeback, traders say","['So this stock has really been in the trash heap, Tatro said during the same interview', 'Chinese stocks and companies with exposure to the country have had a bumpy 2021 as Beijing cracked down on certain industries ranging from tech to private education amid the nations uneven economic recovery', 'Las Vegas Sands generates nearly half of its revenue from Macao, a gambling destination off the coast of mainland China']","['china', 'trash', 'heap', 'tatro', 'interview.chinese']"
7,Yahoo Finance,"['On the other hand, Insider Monkeys research was able to identify in advance a select group of hedge fund holdings that outperformed the S', 'P 500 ETFs by more than 124 percentage points since March 2017', 'Between March 2017 and February 26th 2021 our monthly newsletters stock picks returned 197']","['returned', 'march', 'hand', 'insider', 'monkeys']"
8,"Two beaten-down gambling stocks could be poised to rebound, traders say","['In this article Casino stocks are on a hot streak this week', 'Las Vegas Sands, Wynn, Caesars, Penn National Gaming and MGM Resorts have all surged in recent days, getting a big boost Tuesday after gambling destination Macao eased restrictions for visitors from mainland China', 'This group has been incredibly volatile over the past 18 months, hit hard by closures and then travel disruptions and uneven traffic during the coronavirus pandemic']","['pandemic', 'article', 'casino', 'stocks', 'hot']"
9,"Las Vegas Sands Leaving The Strip With Sale of Venetian Hotel, Expo Center","['Las Vegas has struggled amid the coronavirus pandemic, with the Las Vegas Sands posting a quarterly loss of almost $300 million in January, The AP reported', 'But theres hope for Sin City', 'Last month, MGM Resorts in Las Vegas (including the Mandalay Bay, Park MGM, and The Mirage resorts) said it would resume 24']","['las', 'vegas', 'mgm', 'resorts', 'resume']"
